task_id,task,framework,fold,task_type,type,acc,auc,logloss,score
9977,nomao,AutoCompBoost not tuned,3,binary,auc,0.948651000870322,0.987578090529346,,0.987578090529346
9977,nomao,AutoCompBoost not tuned,4,binary,auc,0.95213228894691,0.988847744601187,,0.988847744601187
9977,nomao,AutoCompBoost not tuned,5,binary,auc,0.950391644908616,0.989211445442812,,0.989211445442812
9977,nomao,AutoCompBoost not tuned,6,binary,auc,0.953279164248404,0.989819648907293,,0.989819648907293
9977,nomao,AutoCompBoost not tuned,7,binary,auc,0.951247823563552,0.987514694907307,,0.987514694907307
9977,nomao,AutoCompBoost not tuned,8,binary,auc,0.956471271038886,0.991760119672683,,0.991760119672683
9977,nomao,AutoCompBoost not tuned,9,binary,auc,0.956761462565293,0.988674189138317,,0.988674189138317
9977,nomao,AutoCompBoost not tuned,10,binary,auc,0.953569355774811,0.989323489396551,,0.989323489396551
10101,blood-transfusion-service-center,AutoCompBoost not tuned,1,binary,auc,0.733333333333333,0.744152046783626,,0.744152046783626
10101,blood-transfusion-service-center,AutoCompBoost not tuned,2,binary,auc,0.786666666666667,0.864035087719298,,0.864035087719298
10101,blood-transfusion-service-center,AutoCompBoost not tuned,3,binary,auc,0.746666666666667,0.686159844054581,,0.686159844054581
10101,blood-transfusion-service-center,AutoCompBoost not tuned,4,binary,auc,0.733333333333333,0.687621832358674,,0.687621832358674
10101,blood-transfusion-service-center,AutoCompBoost not tuned,5,binary,auc,0.746666666666667,0.62962962962963,,0.62962962962963
10101,blood-transfusion-service-center,AutoCompBoost not tuned,6,binary,auc,0.733333333333333,0.705165692007797,,0.705165692007797
10101,blood-transfusion-service-center,AutoCompBoost not tuned,7,binary,auc,0.8,0.767543859649123,,0.767543859649123
10101,blood-transfusion-service-center,AutoCompBoost not tuned,8,binary,auc,0.76,0.694444444444445,,0.694444444444445
10101,blood-transfusion-service-center,AutoCompBoost not tuned,9,binary,auc,0.77027027027027,0.719814241486068,,0.719814241486068
10101,blood-transfusion-service-center,AutoCompBoost not tuned,10,binary,auc,0.77027027027027,0.747678018575851,,0.747678018575851
14965,bank-marketing,AutoCompBoost not tuned,1,binary,auc,0.887439186200796,0.839056250139067,,0.839056250139067
14965,bank-marketing,AutoCompBoost not tuned,2,binary,auc,0.890068568900686,0.855618544574217,,0.855618544574217
14965,bank-marketing,AutoCompBoost not tuned,3,binary,auc,0.892059278920593,0.857776517117411,,0.857776517117411
14965,bank-marketing,AutoCompBoost not tuned,4,binary,auc,0.895155938951559,0.856674833599145,,0.856674833599145
14965,bank-marketing,AutoCompBoost not tuned,5,binary,auc,0.888077858880779,0.86226327892079,,0.86226327892079
14965,bank-marketing,AutoCompBoost not tuned,6,binary,auc,0.889847378898474,0.848720124559137,,0.848720124559137
14965,bank-marketing,AutoCompBoost not tuned,7,binary,auc,0.888077858880779,0.850766514124658,,0.850766514124658
14965,bank-marketing,AutoCompBoost not tuned,8,binary,auc,0.888520238885202,0.861223155195079,,0.861223155195079
14965,bank-marketing,AutoCompBoost not tuned,9,binary,auc,0.893165228931652,0.863416104420561,,0.863416104420561
14965,bank-marketing,AutoCompBoost not tuned,10,binary,auc,0.887193098871931,0.855176799724212,,0.855176799724212
